budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
40,840,10.0,17,1,lookup,0.5582864038705795,0.32685385169186465,0.6004319654427646,1389
40,840,10.0,17,1,proposed,0.5537775328887518,0.33189344852411806,0.3722102231821454,1389
40,840,10.0,17,2,cnn,0.523401398921381,,,0
40,840,10.0,17,2,lookup,0.5593389164921533,0.36457564575645757,0.622140221402214,1355
40,840,10.0,17,2,proposed,0.5597875699316386,0.3505535055350554,0.38228782287822877,1355
40,840,10.0,17,3,cnn,0.5447207938584029,,,0
40,840,10.0,17,3,lookup,0.5653877212266171,0.36159420289855077,0.6115942028985507,1380
40,840,10.0,17,3,proposed,0.5627432358425365,0.36983321247280637,0.3966642494561276,1379
40,840,10.0,17,4,cnn,0.5482856870537135,,,0
40,840,10.0,17,4,lookup,0.5647688800100458,0.34576757532281205,0.6076040172166427,1394
40,840,10.0,17,4,proposed,0.5585946347713466,0.3486700215672178,0.3644859813084112,1391
40,840,10.0,42,0,cnn,0.5455828628857938,,,0
40,840,10.0,42,0,lookup,0.5718093638400058,0.32681159420289857,0.5891304347826087,1380
40,840,10.0,42,0,proposed,0.5679727945036935,0.3347826086956522,0.3572463768115942,1380
40,840,10.0,42,1,cnn,0.5405366014971975,,,0
40,840,10.0,42,1,lookup,0.5848330745845944,0.35624538063562455,0.6215816703621582,1353
40,840,10.0,42,1,proposed,0.5837992299648349,0.38654841093865483,0.3858093126385809,1353
40,840,10.0,42,2,cnn,0.5106232380742233,,,0
40,840,10.0,42,2,lookup,0.5287209675844624,0.3746312684365782,0.6157817109144543,1356
40,840,10.0,42,2,proposed,0.5254652392441171,0.3753687315634218,0.38495575221238937,1356
40,840,10.0,42,3,cnn,0.5563416584135212,,,0
40,840,10.0,42,3,lookup,0.5714225126557364,0.32386363636363635,0.6150568181818182,1408
40,840,10.0,42,3,proposed,0.5627026226573838,0.334044065387349,0.378820184790334,1407
40,840,10.0,42,4,cnn,0.5476593559019725,,,0
40,840,10.0,42,4,lookup,0.5708624324805801,0.34852941176470587,0.6102941176470589,1360
40,840,10.0,42,4,proposed,0.5634267576971104,0.3639705882352941,0.3683823529411765,1360
50,1050,12.5,5,0,cnn,0.5684082702755262,,,0
50,1050,12.5,5,0,lookup,0.6099214773919754,0.34760147601476016,0.6250922509225092,1355
50,1050,12.5,5,0,proposed,0.605606353298349,0.34760147601476016,0.3793357933579336,1355
50,1050,12.5,5,1,cnn,0.5662544377912087,,,0
50,1050,12.5,5,1,lookup,0.6058062196186829,0.35281065088757396,0.6257396449704142,1352
50,1050,12.5,5,1,proposed,0.5964857900911517,0.35920177383592017,0.3939393939393939,1353
50,1050,12.5,5,2,cnn,0.5601120638437671,,,0
50,1050,12.5,5,2,lookup,0.5815847037334689,0.34532374100719426,0.6093525179856115,1390
50,1050,12.5,5,2,proposed,0.5729658006594975,0.34053275737940963,0.3758099352051836,1389
50,1050,12.5,5,3,cnn,0.5666301207987866,,,0
50,1050,12.5,5,3,lookup,0.6080788297052031,0.382679496669134,0.616580310880829,1351
50,1050,12.5,5,3,proposed,0.6004434312764244,0.3945225758697261,0.38490007401924503,1351
50,1050,12.5,5,4,cnn,0.5605221357455425,,,0
50,1050,12.5,5,4,lookup,0.5965047410381182,0.34696859021183346,0.6143170197224251,1369
50,1050,12.5,5,4,proposed,0.591743338611202,0.36449963476990505,0.3593864134404675,1369
50,1050,12.5,17,0,cnn,0.5401798672440209,,,0
50,1050,12.5,17,0,lookup,0.5764671028193851,0.35202952029520296,0.6162361623616236,1355
50,1050,12.5,17,0,proposed,0.5718365713709788,0.367722918201916,0.4001473839351511,1357
50,1050,12.5,17,1,cnn,0.5533803860060507,,,0
50,1050,12.5,17,1,lookup,0.5619541044811367,0.3603801169590643,0.6133040935672515,1368
50,1050,12.5,17,1,proposed,0.558934490629064,0.3686131386861314,0.45985401459854014,1370
50,1050,12.5,17,2,cnn,0.5355840067030356,,,0
50,1050,12.5,17,2,lookup,0.567799938599033,0.3539244186046512,0.6170058139534884,1376
50,1050,12.5,17,2,proposed,0.5622268347649237,0.35942028985507246,0.45072463768115945,1380
50,1050,12.5,17,3,cnn,0.55189575320594,,,0
50,1050,12.5,17,3,lookup,0.5787867523159175,0.3271295633500358,0.5934144595561919,1397
50,1050,12.5,17,3,proposed,0.5717212012946215,0.3199713672154617,0.4316392269148175,1397
50,1050,12.5,17,4,cnn,0.5618157439029756,,,0
